product_name,category,subcategory,total_sales,total_profit,total_quantity
"Cubify CubeX 3D Printer Double Head Print",Technology,Machines,11099.96,-8879.97,9
"Lexmark MX611dhe Monochrome Laser Printer",Technology,Machines,16829.90,-4589.97,18
"Cubify CubeX 3D Printer Triple Head Print",Technology,Machines,7999.98,-3839.99,4
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",Furniture,Tables,9917.64,-2876.11,27
"Bush Advantage Collection Racetrack Conference Table",Furniture,Tables,9544.72,-1934.40,33
"GBC DocuBind P400 Electric Binding System","Office Supplies",Binders,17965.07,-1878.17,27
"Cisco TelePresence System EX90 Videoconferencing Unit",Technology,Machines,22638.48,-1811.08,6
"Martin Yale Chadless Opener Electric Letter Opener","Office Supplies",Supplies,16656.21,-1299.19,22
"Balt Solid Wood Round Tables",Furniture,Tables,6518.76,-1201.06,19
"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",Furniture,Tables,1706.26,-1148.44,15
